臺北市地方總預算案,,,,,,,,
　　　　　　　　　,,,,,,,,
歲出機關別預算表,,,,,,,,
                      ,,,,,,,,
中華民國105年度,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明
款,項,目,節,名稱及編號,,,,
,,,,42000,,,,
42,,,,第二預備金,"1,500,000,000","950,000,000","550,000,000",
,,,,,,,,
,,,,　42101,,,,
,   1,,,　第二預備金,"1,500,000,000","950,000,000","550,000,000",
,,,,,,,,
,,,,　　925600,,,,
,, 1,,　　第二預備金,"1,500,000,000","950,000,000","550,000,000",
,,,,,,,,
,,,,　　　925601,,,,
,,, 1,　　　第二預備金,"1,500,000,000","950,000,000","550,000,000",編列第二預備金如列數，依預算法
,,,,,,,,等相關規定專案核准動支。
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
