臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,11000,,,,,
11,,,,警察局主管,"13,500,971,028","13,619,735,187","-118,764,159",,
,,,,,,,,,
,,,,　11101,,,,,
,   1,,,　警察局,"13,500,971,028","13,619,735,187","-118,764,159",,
,,,,,,,,,
,,,,　　710100,,,,,
,, 1,,　　一般行政,"1,878,206,275","1,955,400,186","-77,193,911",,
,,,,,,,,,
,,,,　　　710101,,,,,
,,, 1,　　　行政管理,"1,878,206,275","1,955,400,186","-77,193,911",1.本科目係由上年度「行政管理」,
,,,,,,,,  科目及「資料處理」科目合併設,
,,,,,,,,  置。,
,,,,,,,,"2.本科目上年度預算數 1,954,508",
,,,,,,,,"  ,643元，連同由警隊業務科目移",
,,,,,,,,"  入電腦耗材及維修 47,714元及",
,,,,,,,,"  資訊服務費 843,829元，共計如",
,,,,,,,,  列數。,
,,,,,,,,3.本年度預算數之內容與上年度之,
,,,,,,,,  比較如下：,
,,,,,,,," (1)人員維持費 1,015,463,639元",
,,,,,,,,"    ，較上年度預算數 1,044,448",
,,,,,,,,"    ,160元減列 28,984,521元，",
,,,,,,,,    主要係減列約僱人員1人及依,
,,,,,,,,    實際需要覈實減列所致。,
,,,,,,,," (2)一般業務 152,632,015元，較",
,,,,,,,,"    上年度預算數 173,679,062元",
,,,,,,,,"    減列 21,047,047元，包括新",
,,,,,,,,    增刑事鑑識人員出國赴美研習,
,,,,,,,,    刑事鑑識技能所需經費 681,
,,,,,,,,"    ,214元，減列上下班交通費",
,,,,,,,,"     12,688,704元、統籌業務費",
,,,,,,,,"    8,506,920元、電腦耗材及維",
,,,,,,,,"    修 6,637元及獎補助及損失",
,,,,,,,,"     526,000元，計淨減如列數。",
,,,,,,,," (3)會計業務 1,885,960元，較上",
,,,,,,,,    年度預算數無增減。,
,,,,,,,," (4)人事業務 43,595,491元，較",
,,,,,,,,"    上年度預算數 37,590,331元",
,,,,,,,,"    增列 6,005,160元，包括新增",
,,,,,,,,    換發警察人貝服務證、警察機,
,,,,,,,,    關服務證紙卡、駐衛警服務證,
,,,,,,,,"    及膠膜(3年1編) 150,000元，",
,,,,,,,,"    增列文康活動費 6,445,160元",
,,,,,,,,"    及人事簿冊印刷費 5,200元，",
,,,,,,,,    減列外勤員警健康檢查費 504,
,,,,,,,,"    ,000元及製作員警功標、年資",
,,,,,,,,"    標 91,200元，計淨增如列數",
,,,,,,,,    。,
,,,,,,,," (5)財物業務 448,160,516元，較",
,,,,,,,,"    上年度預算數 444,753,178元",
,,,,,,,,"    增列 3,407,338元，包括新增",
,,,,,,,,"    桌、椅、櫃 533,000元及除濕",
,,,,,,,,"    機、電動螢幕 34,000元，增",
,,,,,,,,    列伙食、夜點、值日費520元,
,,,,,,,,"    、電話費 12,000元、購置小",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
11,   1, 1, 1,,,,,"    型物品 88,000元、員警(工)",
,,,,,,,,"    制服、服裝、配件等 16,821",
,,,,,,,,"    ,580元、替代役配件、寢具、",
,,,,,,,,"    盥洗用具 287,354元、辦公廳",
,,,,,,,,    舍土地、職務宿舍、建物租金,
,,,,,,,,"     832,249元、辦公廳舍清潔維",
,,,,,,,,"    持費 68,256元、房屋建築養",
,,,,,,,,"    護費 483,863元、設施及機械",
,,,,,,,,"    設備養護費 2,110,406元、無",
,,,,,,,,"    線電臺執照費 306,500元、各",
,,,,,,,,"    項採購諮詢出席費 40,000元",
,,,,,,,,    、分局及各派出所消防清水泡,
,,,,,,,,    沫原液費、冷卻水殺菌劑 31,
,,,,,,,,"    ,825元及搬遷費 180,000元，",
,,,,,,,,"    減列電費 2,530,876元、水費",
,,,,,,,,"     29,950元、瓦斯費 293,000",
,,,,,,,,    元、省能照明設施耗材 192,
,,,,,,,,"    ,984元、車輛及辦公器具養護",
,,,,,,,,"    費 333,000元、無線電臺頻率",
,,,,,,,,    使用費200元、局本部暨所屬,
,,,,,,,,    單位建築物公共安全檢查申報,
,,,,,,,,"    及查核費 532,470元、分局暨",
,,,,,,,,"    派出所發電機油料費 14,400",
,,,,,,,,"    元、財物簿冊印刷費 38,995",
,,,,,,,,"    元、汰換反光背心 3,480,560",
,,,,,,,,    元、檔案室專用公文夾 11,
,,,,,,,,"    ,700元、有線電話本印製費",
,,,,,,,,"     207,000元、員警執勤用隨身",
,,,,,,,,"    型迷你攝錄影機 9,752,400元",
,,,,,,,,    、交通助理員用雨衣、雨鞋、,
,,,,,,,,"    應勤裝備等 52,360元、交通",
,,,,,,,,    資訊網路電視牆影像傳輸費、,
,,,,,,,,"    固定桿數據傳輸費 892,320元",
,,,,,,,,    及市民臨時工春節慰問金 60,
,,,,,,,,"    ,000元，計淨增如列數。",
,,,,,,,," (6)車輛養護與管理 153,884,543",
,,,,,,,,"    元，較上年度預算數 185,281",
,,,,,,,,"    ,518元減列 31,396,975元，",
,,,,,,,,"    包括增列稅捐及規費 178,570",
,,,,,,,,"    元、車輛保險費 12,433元及",
,,,,,,,,"    車輛養護費 772,080元，減列",
,,,,,,,,"    車輛油料 32,360,058元，計",
,,,,,,,,    淨減如列數。,
,,,,,,,," (7)資訊業務 54,603,546元，較",
,,,,,,,,"    上年度預算數 59,667,496元",
,,,,,,,,"    減列 5,063,950元，包括新增",
,,,,,,,,"    資安健檢費 281,180元、數位",
,,,,,,,,    鑑識實驗設備硬碟維護費 227,
,,,,,,,,"    ,000元及數位鑑識實驗系統維",
,,,,,,,,"    護費 402,754元，增列電腦軟",
,,,,,,,,"    體維護費 30,000元，減列電",
,,,,,,,,"    腦訓練費 12,000元、電腦設",
,,,,,,,,"    備硬體維護費 5,699,708元、",
,,,,,,,,    犯罪嫌疑人指紋活體掃瞄及身,
,,,,,,,,"    分辨識設備維護費 283,100元",
,,,,,,,,"    、專線租金 2,076元及工作服",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
11,   1, 1, 1,,,,,"     8,000元，計淨減如列數。",
,,,,,,,," (8)公關業務 984,180元，較上年",
,,,,,,,,"    度預算數 1,060,096元減列芬",
,,,,,,,,"    芳錄印製費等 75,916元。",
,,,,,,,," (9)秘書業務 2,887,260元，較上",
,,,,,,,,"    年度預算數 2,917,260元減列",
,,,,,,,,"    郵寄各項文件郵資 30,000元",
,,,,,,,,    。,
,,,,,,,," (10)法規業務 1,445,600元，較",
,,,,,,,,     上年度預算數無增減。,
,,,,,,,," (11)政風業務 1,148,750元，較",
,,,,,,,,     上年度預算數無增減。,
,,,,,,,," (12)統計業務 1,514,775元，較",
,,,,,,,,"     上年度預算數 1,522,775元",
,,,,,,,,     減列民意調查業務評選（2次,
,,,,,,,,     ）、問卷設計、調查報告審,
,,,,,,,,     查諮詢小組委員出席費 8,
,,,,,,,,"     ,000元。",
,,,,　　710200,,,,,
,, 2,,　　警政業務,"10,563,426,601","10,688,157,183","-124,730,582",,
,,,,,,,,,
,,,,　　　710201,,,,,
,,, 1,　　　警察勤務,"915,384,699","893,582,901","21,801,798",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 375,239,275元，較",
,,,,,,,,"  上年度預算數 388,650,400元減",
,,,,,,,,"  列 13,411,125元，主要係依實",
,,,,,,,,  際需要覈實減列所致。,
,,,,,,,,"2.督察業務 65,002,180元，較上",
,,,,,,,,"  年度預算數 64,999,780元增列",
,,,,,,,,  外勤單位執行勤務績優獎牌(座),
,,,,,,,,"  等 2,400元。",
,,,,,,,,"3.勤務指揮管制 1,975,060元，較",
,,,,,,,,"  上年度預算數 1,971,180元增列",
,,,,,,,,"   3,880元，包括增列總值勤官假",
,,,,,,,,  日值日費500元、勤務指揮中心,
,,,,,,,,"  值勤人員伙食費及夜點費 3,380",
,,,,,,,,  元，共增如列數。,
,,,,,,,,"4.行政警察業務 1,076,818元，較",
,,,,,,,,  上年度預算數無增減。,
,,,,,,,,"5.保安業務 19,778,814元，較上",
,,,,,,,,"  年度預算數 29,629,214元減列",
,,,,,,,,"  9,850,400元，包括增列聚眾活",
,,,,,,,,  動相關講習及訓練教官鐘點費,
,,,,,,,,"   107,200元，減列春安工作值勤",
,,,,,,,,"  人員伙食費 2,937,600元、兼指",
,,,,,,,,  揮官慰問春安工作值勤人員慰問,
,,,,,,,,  品及慰問品評選委員出席費 7,
,,,,,,,,"  ,020,000元，計淨減如列數。",
,,,,,,,,"6.鑑識業務 33,884,209元，較上",
,,,,,,,,"  年度預算數 33,798,029元增列",
,,,,,,,,"  86,180元，包括新增辦理毒品尿",
,,,,,,,,  液採驗作業及毒品證物流程管督,
,,,,,,,,"  考等工作人員誤餐費 10,880元",
,,,,,,,,"  、手術用剪刀 68,000元、連續",
,,,,,,,,"  分注器用吸管尖 34,500元及毒",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
11,   1, 2, 1,,,,,  品暨文書實驗室及DNA實驗室認,
,,,,,,,,"  證延展費 161,200元、空氣清淨",
,,,,,,,,"  機保養費 76,500元、實驗室污",
,,,,,,,,"  水處理費 60,000元，增列假日",
,,,,,,,,  值日費500元、毒品實驗室能力,
,,,,,,,,"  試驗參加費用 1,000元，減列刑",
,,,,,,,,  案現場勘察照相專用三腳架 326,
,,,,,,,,"  ,400元，計淨增如列數。",
,,,,,,,,"7.防治業務 2,488,216元，較上年",
,,,,,,,,  度預算數無增減。,
,,,,,,,,"8.保防業務 3,482,367元，較上年",
,,,,,,,,"  度預算數 3,481,867元增列假日",
,,,,,,,,  值日費500元。,
,,,,,,,,"9.外事警察業務 8,891,485元，較",
,,,,,,,,"  上年度預算 8,923,465元減列",
,,,,,,,,"   31,980元，包括減列空氣清淨",
,,,,,,,,"  機 19,980元及除濕機 12,000元",
,,,,,,,,  ，共減如列數。,
,,,,,,,,"10.教育與訓練 5,863,650元，較",
,,,,,,,,"   上年度預算數 5,348,050元增",
,,,,,,,,"   列 515,600元，包括新增替代",
,,,,,,,,"   役役男訓練誤餐費 227,600元",
,,,,,,,,   、替代役役男訓練教官鐘點費,
,,,,,,,,"   256,000元、替代役役男訓練、",
,,,,,,,,"   場地佈置及雜支等經費 32,000",
,,,,,,,,   元，共增如列數。,
,,,,,,,,"11.犯罪預防業務 390,823,050元",
,,,,,,,,"   ，較上年度預算數 346,838",
,,,,,,,,"   ,222元增列 43,984,828元，包",
,,,,,,,,   括新增接收替代役役男誤餐費,
,,,,,,,,   、盥洗用品費及輸送費 506,
,,,,,,,,"   ,220元，增列錄影監視系統專",
,,,,,,,,"   用傳輸網路服務費 7,438,488",
,,,,,,,,   元、替代役役男用雨衣、雨鞋,
,,,,,,,,   、寢具、反光背心及接收替代,
,,,,,,,,"   役役男市外出差費 1,844,120",
,,,,,,,,   元、非保固範圍之錄影監視系,
,,,,,,,,     統維護、維修費及設備搬遷,
,,,,,,,,   異動等費用暨保養維護費 36,
,,,,,,,,"   ,000,000元，減列犯罪防工作",
,,,,,,,,"   類等相關計畫獎勵金 750,000",
,,,,,,,,   元、本市錄影監視系統運用成,
,,,,,,,,"   效委託研究費用 750,000元、",
,,,,,,,,   本市錄影監視系統建置案相關,
,,,,,,,,"   宣導費用 300,000元、錄影監",
,,,,,,,,"   視系統養護費 4,000元，計淨",
,,,,,,,,   增如列數。,
,,,,,,,,"12.防情管制 6,879,575元，較上",
,,,,,,,,"   年度預算數 6,377,660元增列",
,,,,,,,,"   501,915元，包括新增備勤人員",
,,,,,,,,"   寢具 62,220元、電子式警報器",
,,,,,,,,   設備養護及耗品換修費 282,
,,,,,,,,"   ,000元，增列防情無線電使用",
,,,,,,,,"   頻率費 100,000元、警報主臺",
,,,,,,,,"   房屋修繕暨照明換修費 6,000",
,,,,,,,,   元、警報設備電瓶換修費 528,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
11,   1, 2, 1,,,,,"   ,000元，減列值勤人員伙食費",
,,,,,,,,"   及夜點費 363,800元、辦公桌",
,,,,,,,,"   72,000元、警報器連鐵塔養護",
,,,,,,,,"   費 40,505元，計淨增如列數。",
,,,,　　　710202,,,,,
,,, 2,　　　分局業務,"6,260,064,420","6,386,728,730","-126,664,310",本年度預算數之內容與上年度之比,
